"","month","Min"
"192","07-10",50.74
"193","07-11",51.16
"194","07-12",51.45
"195","07-13",51.61
"196","07-14",51.78
"197","07-15",51.98
"198","07-16",52.27
"199","07-17",52.56
"200","07-18",52.87
"201","07-19",53.09
"202","07-20",53.27
"203","07-21",53.45
"204","07-22",53.62
"205","07-23",53.96
"206","07-24",54.37
"207","07-25",54.79
"208","07-26",55.11
"209","07-27",55.44
"210","07-28",55.79
"211","07-29",56.23
"212","07-30",56.57
"213","07-31",56.96
"214","08-01",57.4
"215","08-02",57.76
"216","08-03",58.06
"217","08-04",58.36
"218","08-05",58.66
"219","08-06",59.03
"220","08-07",59.42
"221","08-08",59.81
"222","08-09",60.12
"223","08-10",60.45
"224","08-11",60.73
"225","08-12",61.03
"226","08-13",61.37
"227","08-14",61.71
"228","08-15",62.16
"229","08-16",62.5
"230","08-17",62.79
"231","08-18",63.1
"232","08-19",63.41
"233","08-20",63.75
"234","08-21",64.12
"235","08-22",64.49
"236","08-23",64.82
"237","08-24",65.16
"238","08-25",65.47
"239","08-26",65.79
"240","08-27",66.14
"241","08-28",66.52
"242","08-29",66.91
"243","08-30",67.22
"244","08-31",67.41
"245","09-01",67.84
"246","09-02",68.05
"247","09-03",68.28
"248","09-04",68.57
"249","09-05",68.91
"250","09-06",69.13
"251","09-07",69.31
"252","09-08",69.52
"253","09-09",69.73
"254","09-10",69.94
"255","09-11",70.23
"256","09-12",70.52
"257","09-13",70.69
"258","09-14",70.83
"259","09-15",70.94
"260","09-16",71.06
"261","09-17",71.27
"262","09-18",71.56
"263","09-19",71.86
"264","09-20",72.05
"265","09-21",72.21
"266","09-22",72.36
"267","09-23",72.57
"268","09-24",72.82
"269","09-25",73.42
"270","09-26",73.81
"271","09-27",74.07
"272","09-28",74.28
"273","09-29",74.52
"274","09-30",74.71
"275","10-01",74.93
"276","10-02",75.16
"277","10-03",75.47
"278","10-04",75.64
"279","10-05",75.85
"280","10-06",75.96
"281","10-07",76.01
"282","10-08",76.12
"283","10-09",76.33
"284","10-10",76.95
"285","10-11",76.95
"286","10-12",77
"287","10-13",76.93
"288","10-14",76.92
"289","10-15",76.92
"290","10-16",77
"291","10-17",77.09
"292","10-18",77.09
"293","10-19",77.14
"294","10-20",77.26
"295","10-21",77.28
"296","10-22",77.21
"297","10-23",77.19
"298","10-24",77.21
"299","10-25",77.09
"300","10-26",77
"301","10-27",77.03
"302","10-28",76.99
"303","10-29",76.97
"304","10-30",76.96
"305","10-31",77.07
"306","11-01",77.07
"307","11-02",76.82
"308","11-03",76.5
"309","11-04",76.24
"310","11-05",76
"311","11-06",75.91
"312","11-07",75.85
"313","11-08",75.57
"314","11-09",75.28
"315","11-10",74.99
"316","11-11",74.69
"317","11-12",74.37
"318","11-13",74.19
"319","11-14",74.08
"320","11-15",73.76
"321","11-16",73.39
"322","11-17",73.06
"323","11-18",72.77
"324","11-19",72.57
"325","11-20",72.42
"326","11-21",72.23
"327","11-22",71.82
"328","11-23",71.35
"329","11-24",70.8
"330","11-25",70.27
"331","11-26",69.76
"332","11-27",69.34
"333","11-28",68.91
"334","11-29",68.33
"335","11-30",67.77
"336","12-01",67.21
"337","12-02",66.62
"338","12-03",66.05
"339","12-04",65.59
"340","12-05",65.14
"341","12-06",64.51
"342","12-07",63.9
"343","12-08",63.3
"344","12-09",62.65
"345","12-10",62.05
"346","12-11",61.56
"347","12-12",61.17
"348","12-13",60.63
"349","12-14",60.14
"350","12-15",59.66
"351","12-16",59.18
"352","12-17",58.7
"353","12-18",58.3
"354","12-19",57.87
"355","12-20",57.18
"356","12-21",56.42
"357","12-22",55.64
"358","12-23",55.03
"359","12-24",54.68
"360","12-25",54.42
"361","12-26",54.08
"362","12-27",53.78
"363","12-28",53.54
"364","12-29",53.44
"365","12-30",53.41
"366","12-31",53.54
